指标,地区,分类,国家,商品,贸易方式,时间,数值
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,11-2019,35054231.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,12-2019,36455039.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,01-2020,31012744.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,02-2020,18063346.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,03-2020,30643551.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,04-2020,40848925.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,05-2020,38159976.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,06-2020,30341966.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,07-2020,31823712.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,08-2020,29891041.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,09-2020,27055293.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,10-2020,28632737.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,11-2020,37921023.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,12-2020,51117960.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,01-2021,47834213.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,02-2021,31112252.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,03-2021,33817124.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,04-2021,31918124.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,05-2021,34654147.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,06-2021,39420312.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,07-2021,43803740.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,08-2021,36050957.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,09-2021,59451311.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,10-2021,41910090.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,11-2021,82347736.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,12-2021,95657067.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,01-2022,69035781.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,02-2022,66374580.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,03-2022,49558704.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,04-2022,49698037.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,05-2022,51651518.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,06-2022,43291658.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,07-2022,51375652.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,08-2022,56204902.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,09-2022,69511758.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,10-2022,49116793.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,11-2022,60805856.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,12-2022,42103770.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,01-2023,51859180.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,02-2023,50159427.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,03-2023,49597682.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,04-2023,60046288.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,05-2023,67521550.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,06-2023,67826325.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,07-2023,71186924.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,08-2023,57863450.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,09-2023,54200539.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,10-2023,49218840.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,11-2023,71717790.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,12-2023,74612692.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,01-2024,81819719.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,02-2024,53031180.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,03-2024,74810698.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,04-2024,76052649.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,05-2024,59707588.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,06-2024,54925599.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,07-2024,54019804.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,08-2024,70051988.00000
进口金额（美元）,合计,本期值,合计,020130 - 鲜、冷去骨牛肉,合计,09-2024,66775725.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,01-2019,
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,02-2019,
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,03-2019,
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,04-2019,
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,05-2019,
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,06-2019,
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,07-2019,
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,08-2019,310941.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,09-2019,2671400.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,10-2019,2627715.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,11-2019,3282586.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,12-2019,256820.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,01-2020,330495.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,02-2020,126709.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,03-2020,
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,04-2020,3520.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,05-2020,21862.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,06-2020,
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,07-2020,45484.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,08-2020,
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,09-2020,281180.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,10-2020,975291.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,11-2020,643902.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,12-2020,113235.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,01-2021,
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,02-2021,42647.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,03-2021,107025.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,04-2021,
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,05-2021,
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,06-2021,155874.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,07-2021,98507.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,08-2021,31481.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,09-2021,194079.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,10-2021,1401855.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,11-2021,707005.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,12-2021,302722.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,01-2022,
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,02-2022,
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,03-2022,
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,04-2022,
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,05-2022,98031.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,06-2022,48728.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,07-2022,52495.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,08-2022,
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,09-2022,410546.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,10-2022,1284651.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,11-2022,1142821.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,12-2022,593765.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,01-2023,37086.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,02-2023,72508.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,03-2023,
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,04-2023,
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,05-2023,123433.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,06-2023,41815.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,07-2023,74459.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,08-2023,3008.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,09-2023,469512.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,10-2023,1080358.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,11-2023,700186.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,12-2023,372519.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,01-2024,92747.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,02-2024,234889.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,03-2024,8468.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,04-2024,
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,05-2024,72894.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,06-2024,25914.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,07-2024,4487.00000
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,08-2024,
进口金额（美元）,合计,本期值,合计,020210 - 冻整头及半头牛肉,合计,09-2024,9181.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,01-2019,48761787.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,02-2019,34847246.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,03-2019,36994155.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,04-2019,58640919.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,05-2019,59660920.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,06-2019,58332297.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,07-2019,67297241.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,08-2019,59559381.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,09-2019,65160061.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,10-2019,75812879.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,11-2019,81662260.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,12-2019,79872472.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,01-2020,78180781.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,02-2020,56471018.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,03-2020,80887187.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,04-2020,57484031.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,05-2020,58133562.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,06-2020,66643741.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,07-2020,72992755.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,08-2020,57533693.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,09-2020,53301874.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,10-2020,52069649.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,11-2020,51823574.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,12-2020,79616864.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,01-2021,91771777.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,02-2021,63368754.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,03-2021,98037589.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,04-2021,87152266.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,05-2021,89718285.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,06-2021,87336132.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,07-2021,99446715.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,08-2021,112379459.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,09-2021,112601140.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,10-2021,128147760.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,11-2021,135607396.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,12-2021,151794302.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,01-2022,141169804.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,02-2022,118727428.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,03-2022,134102802.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,04-2022,109030759.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,05-2022,125916921.00000
进口金额（美元）,合计,本期值,合计,020220 - 冻带骨牛肉,合计,06-2022,130119727.00000
