typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20240201","2024","2","202402","842","USA","USA","X","Export","0","W00","World","0","W00","World","H6","HS","true","010129","Horses; live, other than pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","3159","false","5","u","3159","false","120888.041","true","0","false",,"6216968","6216968","4","false","true",
"C","M","20240201","2024","2","202402","842","USA","USA","X","Export","0","W00","World","0","W00","World","H6","HS","true","010130","Asses; live","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","3","false","5","u","3","false",,"false","0","false",,"23395","23395","0","false","true",
"C","M","20240201","2024","2","202402","842","USA","USA","X","Export","0","W00","World","0","W00","World","H6","HS","true","010190","Mules and hinnies; live","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","314","false","5","u","314","false",,"false","0","false",,"268708","268708","0","false","true",
"C","M","20240301","2024","3","202403","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","010121","Horses; live, pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","142","false","5","u","142","false","60619.65","true","0","false","4758048","4612855","4758048","4","false","true",
"C","M","20240301","2024","3","202403","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","010129","Horses; live, other than pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1707","false","5","u","1707","false","2724294.392","true","0","false","74110539","72184719","74110539","4","false","true",
"C","M","20240301","2024","3","202403","842","USA","USA","X","Export","0","W00","World","0","W00","World","H6","HS","true","010121","Horses; live, pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","3928","false","5","u","3928","false","278440.21","true","0","false",,"17242577","17242577","4","false","true",
"C","M","20240301","2024","3","202403","842","USA","USA","X","Export","0","W00","World","0","W00","World","H6","HS","true","010129","Horses; live, other than pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","3552","false","5","u","3552","false","114216.978","true","0","false",,"5873892","5873892","4","false","true",
"C","M","20240301","2024","3","202403","842","USA","USA","X","Export","0","W00","World","0","W00","World","H6","HS","true","010130","Asses; live","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","416","false","5","u","416","false",,"false","0","false",,"62650","62650","0","false","true",
"C","M","20240301","2024","3","202403","842","USA","USA","X","Export","0","W00","World","0","W00","World","H6","HS","true","010190","Mules and hinnies; live","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","3223","false","5","u","3223","false",,"false","0","false",,"753646","753646","0","false","true",
"C","M","20240401","2024","4","202404","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","010121","Horses; live, pure-bred breeding animals","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","169","false","5","u","169","false","77712.371","true","0","false","6099659","5934572","6099659","4","false","true",
