指标,地区,分类,国家,商品,贸易方式,时间,数值
进口金额（美元）,合计,本期值,美国,030111 - 淡水观赏鱼,合计,01-2019,
进口金额（美元）,合计,本期值,美国,030111 - 淡水观赏鱼,合计,02-2019,
进口金额（美元）,合计,本期值,美国,030111 - 淡水观赏鱼,合计,03-2019,
进口金额（美元）,合计,本期值,美国,030111 - 淡水观赏鱼,合计,04-2019,
进口金额（美元）,合计,本期值,美国,030111 - 淡水观赏鱼,合计,05-2019,
进口金额（美元）,合计,本期值,美国,030111 - 淡水观赏鱼,合计,06-2019,
进口金额（美元）,合计,本期值,美国,030111 - 淡水观赏鱼,合计,07-2019,
进口金额（美元）,合计,本期值,美国,030111 - 淡水观赏鱼,合计,08-2019,
进口金额（美元）,合计,本期值,美国,030111 - 淡水观赏鱼,合计,09-2019,
进口金额（美元）,合计,本期值,美国,030111 - 淡水观赏鱼,合计,10-2019,
进口金额（美元）,合计,本期值,美国,030111 - 淡水观赏鱼,合计,11-2019,
进口金额（美元）,合计,本期值,美国,030111 - 淡水观赏鱼,合计,12-2019,
进口金额（美元）,合计,本期值,美国,030111 - 淡水观赏鱼,合计,01-2020,
进口金额（美元）,合计,本期值,美国,030111 - 淡水观赏鱼,合计,02-2020,
进口金额（美元）,合计,本期值,美国,030111 - 淡水观赏鱼,合计,03-2020,
进口金额（美元）,合计,本期值,美国,030111 - 淡水观赏鱼,合计,04-2020,
进口金额（美元）,合计,本期值,美国,030111 - 淡水观赏鱼,合计,05-2020,
进口金额（美元）,合计,本期值,美国,030111 - 淡水观赏鱼,合计,06-2020,
进口金额（美元）,合计,本期值,美国,030111 - 淡水观赏鱼,合计,07-2020,
进口金额（美元）,合计,本期值,美国,030111 - 淡水观赏鱼,合计,08-2020,
进口金额（美元）,合计,本期值,美国,030111 - 淡水观赏鱼,合计,09-2020,
进口金额（美元）,合计,本期值,美国,030111 - 淡水观赏鱼,合计,10-2020,1209.00000
进口金额（美元）,合计,本期值,美国,030111 - 淡水观赏鱼,合计,11-2020,2549.00000
进口金额（美元）,合计,本期值,美国,030111 - 淡水观赏鱼,合计,12-2020,
进口金额（美元）,合计,本期值,美国,030111 - 淡水观赏鱼,合计,01-2021,1031.00000
进口金额（美元）,合计,本期值,美国,030111 - 淡水观赏鱼,合计,02-2021,1461.00000
