指标,地区,分类,国家,商品,贸易方式,时间,数值
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,01-2019,2903089.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,02-2019,2116767.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,03-2019,1748875.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,04-2019,1862724.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,05-2019,1555181.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,06-2019,1641823.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,07-2019,1065852.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,08-2019,767883.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,09-2019,2321623.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,10-2019,1454552.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,11-2019,1475828.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,12-2019,736782.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,01-2020,1357747.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,02-2020,35693.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,03-2020,90565.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,04-2020,
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,05-2020,347961.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,06-2020,14000.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,07-2020,
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,08-2020,1940575.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,09-2020,1858928.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,10-2020,598477.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,11-2020,48000.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,12-2020,1983312.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,01-2021,4017418.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,02-2021,1454097.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,03-2021,2632686.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,04-2021,1738728.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,05-2021,3200505.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,06-2021,554573.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,07-2021,1190139.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,08-2021,884709.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,09-2021,905398.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,10-2021,1264304.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,11-2021,3079198.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,12-2021,1812551.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,01-2022,220929.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,02-2022,76891.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,03-2022,3223889.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,04-2022,682623.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,05-2022,1102176.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,06-2022,5088405.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,07-2022,920235.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,08-2022,2970831.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,09-2022,774594.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,10-2022,3048952.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,11-2022,1398151.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,12-2022,3477021.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,01-2023,21000.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,02-2023,4487635.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,03-2023,2407312.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,04-2023,2100251.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,05-2023,548478.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,06-2023,6359153.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,07-2023,2432902.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,08-2023,2799245.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,09-2023,2367361.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,10-2023,2175475.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,11-2023,2799526.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,12-2023,3195419.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,01-2024,469948.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,02-2024,1515298.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,03-2024,3875009.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,04-2024,2822220.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,05-2024,3240811.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,06-2024,1058829.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,07-2024,2415376.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,08-2024,851676.00000
进口金额（美元）,合计,本期值,合计,0101 - 马、驴、骡,合计,09-2024,4967970.00000
进口金额（美元）,合计,本期值,合计,0102 - 牛,合计,01-2019,51922259.00000
进口金额（美元）,合计,本期值,合计,0102 - 牛,合计,02-2019,
进口金额（美元）,合计,本期值,合计,0102 - 牛,合计,03-2019,24419520.00000
进口金额（美元）,合计,本期值,合计,0102 - 牛,合计,04-2019,24611710.00000
进口金额（美元）,合计,本期值,合计,0102 - 牛,合计,05-2019,41527090.00000
进口金额（美元）,合计,本期值,合计,0102 - 牛,合计,06-2019,20381501.00000
进口金额（美元）,合计,本期值,合计,0102 - 牛,合计,07-2019,25095476.00000
进口金额（美元）,合计,本期值,合计,0102 - 牛,合计,08-2019,31421404.00000
进口金额（美元）,合计,本期值,合计,0102 - 牛,合计,09-2019,19954503.00000
进口金额（美元）,合计,本期值,合计,0102 - 牛,合计,10-2019,45232409.00000
进口金额（美元）,合计,本期值,合计,0102 - 牛,合计,11-2019,22493488.00000
进口金额（美元）,合计,本期值,合计,0102 - 牛,合计,12-2019,27952227.00000
进口金额（美元）,合计,本期值,合计,0102 - 牛,合计,01-2020,50336476.00000
进口金额（美元）,合计,本期值,合计,0102 - 牛,合计,02-2020,16720517.00000
进口金额（美元）,合计,本期值,合计,0102 - 牛,合计,03-2020,39004321.00000
进口金额（美元）,合计,本期值,合计,0102 - 牛,合计,04-2020,25804646.00000
进口金额（美元）,合计,本期值,合计,0102 - 牛,合计,05-2020,73039094.00000
进口金额（美元）,合计,本期值,合计,0102 - 牛,合计,06-2020,22519326.00000
进口金额（美元）,合计,本期值,合计,0102 - 牛,合计,07-2020,48193116.00000
进口金额（美元）,合计,本期值,合计,0102 - 牛,合计,08-2020,39966671.00000
