指标,地区,分类,国家,商品,贸易方式,时间,数值
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,01-2020,697081.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,02-2020,638683.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,03-2020,617713.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,04-2020,1824940.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,05-2020,802378.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,06-2020,1425814.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,07-2020,2774847.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,08-2020,3449708.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,09-2020,5095322.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,10-2020,6696985.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,11-2020,7475202.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,12-2020,10026207.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,01-2021,10507089.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,02-2021,7000028.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,03-2021,8025821.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,04-2021,8670205.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,05-2021,10167502.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,06-2021,12233323.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,07-2021,13271903.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,08-2021,13089903.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,09-2021,18847956.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,10-2021,15328888.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,11-2021,33441030.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,12-2021,35110472.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,01-2022,21891040.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,02-2022,31284294.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,03-2022,20651805.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,04-2022,16622771.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,05-2022,13224149.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,06-2022,19612100.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,07-2022,15545549.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,08-2022,18348232.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,09-2022,27393131.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,10-2022,15162397.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,11-2022,27170474.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,12-2022,17038982.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,01-2023,20149939.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,02-2023,27611245.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,03-2023,22566392.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,04-2023,22122313.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,05-2023,24549089.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,06-2023,22358970.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,07-2023,24743264.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,08-2023,25612620.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,09-2023,17907140.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,10-2023,16146254.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,11-2023,22428297.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,12-2023,26914659.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,01-2024,29025338.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,02-2024,19609644.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,03-2024,23229460.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,04-2024,32185486.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,05-2024,21727722.00000
进口金额（美元）,合计,本期值,美国,020130 - 鲜、冷去骨牛肉,合计,06-2024,25854740.00000
