指标,地区,分类,国家,商品,贸易方式,时间,数值
进口金额（美元）,合计,本期值,合计,07 - 食用蔬菜、根及块茎,合计,01-2017,164819105.00000
进口金额（美元）,合计,本期值,合计,07 - 食用蔬菜、根及块茎,合计,02-2017,155769031.00000
进口金额（美元）,合计,本期值,合计,07 - 食用蔬菜、根及块茎,合计,03-2017,200350115.00000
进口金额（美元）,合计,本期值,合计,07 - 食用蔬菜、根及块茎,合计,04-2017,184231868.00000
进口金额（美元）,合计,本期值,合计,07 - 食用蔬菜、根及块茎,合计,05-2017,156790840.00000
进口金额（美元）,合计,本期值,合计,07 - 食用蔬菜、根及块茎,合计,06-2017,115505716.00000
进口金额（美元）,合计,本期值,合计,07 - 食用蔬菜、根及块茎,合计,07-2017,146942313.00000
进口金额（美元）,合计,本期值,合计,07 - 食用蔬菜、根及块茎,合计,08-2017,107677749.00000
进口金额（美元）,合计,本期值,合计,07 - 食用蔬菜、根及块茎,合计,09-2017,195910525.00000
进口金额（美元）,合计,本期值,合计,07 - 食用蔬菜、根及块茎,合计,10-2017,164909717.00000
进口金额（美元）,合计,本期值,合计,07 - 食用蔬菜、根及块茎,合计,11-2017,217952552.00000
进口金额（美元）,合计,本期值,合计,07 - 食用蔬菜、根及块茎,合计,12-2017,204885848.00000
进口金额（美元）,合计,本期值,合计,07 - 食用蔬菜、根及块茎,合计,01-2018,232887565.00000
进口金额（美元）,合计,本期值,合计,07 - 食用蔬菜、根及块茎,合计,02-2018,181291671.00000
进口金额（美元）,合计,本期值,合计,07 - 食用蔬菜、根及块茎,合计,03-2018,231464248.00000
进口金额（美元）,合计,本期值,合计,07 - 食用蔬菜、根及块茎,合计,04-2018,231025618.00000
进口金额（美元）,合计,本期值,合计,07 - 食用蔬菜、根及块茎,合计,05-2018,183496136.00000
进口金额（美元）,合计,本期值,合计,07 - 食用蔬菜、根及块茎,合计,06-2018,160361781.00000
进口金额（美元）,合计,本期值,合计,07 - 食用蔬菜、根及块茎,合计,07-2018,120922525.00000
进口金额（美元）,合计,本期值,合计,07 - 食用蔬菜、根及块茎,合计,08-2018,140683642.00000
进口金额（美元）,合计,本期值,合计,07 - 食用蔬菜、根及块茎,合计,09-2018,99468236.00000
进口金额（美元）,合计,本期值,合计,07 - 食用蔬菜、根及块茎,合计,10-2018,168869826.00000
进口金额（美元）,合计,本期值,合计,07 - 食用蔬菜、根及块茎,合计,11-2018,152566625.00000
