指标,地区,分类,国家,商品,贸易方式,时间,数值
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,01-2021,1022121745.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,02-2021,696452689.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,03-2021,902190116.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,04-2021,1069533919.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,05-2021,1044187498.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,06-2021,1105272540.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,07-2021,1156591396.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,08-2021,1205303498.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,09-2021,1254631183.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,10-2021,1282549470.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,11-2021,1456199932.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,12-2021,1613546762.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,01-2022,1624730978.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,02-2022,1108596608.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,03-2022,1185052794.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,04-2022,1185623292.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,05-2022,1426762212.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,06-2022,1429346409.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,07-2022,1755873326.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,08-2022,1789668913.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,09-2022,1822640538.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,10-2022,1784687629.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,11-2022,1884648910.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,12-2022,1800607412.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,01-2023,1306781082.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,02-2023,1312578521.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,03-2023,1774469689.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,04-2023,1748912482.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,05-2023,1860230195.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,06-2023,1600755401.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,07-2023,1468880147.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,08-2023,1406633039.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,09-2023,1642296220.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,10-2023,1520813639.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,11-2023,1621068816.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,12-2023,1510148712.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,01-2024,1718771119.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,02-2024,1254283706.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,03-2024,1352726920.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,04-2024,1382671468.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,05-2024,1402937537.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,06-2024,1372938434.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,07-2024,1293157843.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,08-2024,1436326395.00000
进口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,09-2024,1517712458.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,01-2017,1344969740.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,02-2017,557221968.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,03-2017,1093516864.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,04-2017,1065739726.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,05-2017,1120849200.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,06-2017,1105652481.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,07-2017,1012723960.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,08-2017,1104397801.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,09-2017,1031640478.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,10-2017,1130190888.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,11-2017,1307824384.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,12-2017,1377814214.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,01-2018,1390872366.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,02-2018,845003815.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,03-2018,776065584.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,04-2018,1046142055.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,05-2018,1132429491.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,06-2018,1053510852.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,07-2018,1135169213.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,08-2018,1041143468.00000
出口金额（美元）,合计,本期值,合计,03 - 鱼、甲壳动物、软体动物及其他水生无脊椎动物,合计,09-2018,1081060072.00000
