,time,code,IM_PQ,EX_PQ,IM_Q,EX_Q,IM_P,EX_P,year,gdp,population,lgdp,lpopu,lexp,limp,lexq,limq
0,01-2017,01,25817317.0,7423557.0,3074607.0,1431711.0,8.396948618148596,2.4144734595348285,2017,81550955754739.3,7577110140,32.03224916478881,22.748397715886078,0.8814812341545946,2.1278683801102494,14.174380790492753,14.938687646176968
1,01-2018,01,46496139.0,10660629.0,6565793.0,1839541.0,7.0815724772316155,1.6236620618408164,2018,86686870786621.5,7661177849,32.0933235555677,22.759431575066092,0.484684130086261,1.9574959843486857,14.425026641943976,15.697383850503465
2,01-2019,01,61806293.0,33634859.0,13248549.0,9658840.0,4.665136763278756,2.5387579424735494,2019,87945574337517.8,7742724795,32.107739265635864,22.770019503293934,0.9316749624052689,1.5401171507567688,16.083384116162446,16.399398594965948
3,01-2020,01,59840808.0,7975401.0,8928196.0,875300.0,6.702452320715182,0.8932824727414138,2020,85577718250195.5,7821271846,32.08044606437664,22.78011301843261,-0.1128524292645349,1.9024734774458578,13.68232196372053,16.004724916767273
4,01-2021,01,117589422.0,4399592.0,15758205.0,547633.0,7.462107644874528,0.27919372796584385,2021,97527032881901.1,7888963821,32.21115071583,22.788730635043017,-1.2758493726519629,2.009837900435271,13.21336063354636,16.572871739968285
5,01-2022,01,147445664.0,15264363.0,18977081.0,3208851.0,7.769670372382349,0.8043577934878393,2022,101225059591363.0,7951595433,32.24836746654863,22.796638428874658,-0.21771109201784933,2.0502277403628555,14.981423487103747,16.75874254585182
6,01-2023,01,61042771.0,5284746.0,8951016.0,648698.0,6.819647177482422,0.5904073906247067,2023,105435039507024.0,8024997028,32.289116139929476,22.805827135619744,-0.5269424877784469,1.9198077370101705,13.382722556107138,16.007277603361253
7,02-2017,01,36861071.0,47251197.0,4711343.0,15494727.0,7.823898833092814,10.02924155596398,2017,81550955754739.3,7577110140,32.03224916478881,22.748397715886078,2.3055049815637436,2.057183002318246,16.556010330462136,15.365483563352733
8,02-2018,01,13802627.0,46105114.0,2160765.0,15986523.0,6.387842731625142,21.33740318822269,2018,86686870786621.5,7661177849,32.0933235555677,22.759431575066092,3.06046155094437,1.8543966107048617,16.58725661275955,14.585972883624805
9,02-2019,01,10745918.0,21458572.0,163779.0,7081019.0,65.61230682810373,131.02151069428925,2019,87945574337517.8,7742724795,32.107739265635864,22.770019503293934,4.875361513494388,4.183763282441545,15.772928381867143,12.006273237053922
10,02-2020,01,20660311.0,38997962.0,3183716.0,6111718.0,6.489369968929389,12.249196222276108,2020,85577718250195.5,7821271846,32.08044606437664,22.78011301843261,2.505460320329937,1.870165448797136,15.625718470020614,14.973559625988313
11,02-2021,01,64251191.0,48601798.0,8500531.0,7764327.0,7.558491463650918,5.717501412558815,2021,97527032881901.1,7888963821,32.21115071583,22.788730635043017,1.7435318939735907,2.022671628435202,15.865050339849347,15.955639190097575
12,02-2022,01,31096825.0,33903911.0,3199157.0,9838894.0,9.72031850890719,10.597764035963223,2022,101225059591363.0,7951595433,32.24836746654863,22.796638428874658,2.3606430388635804,2.274218386341565,16.101853864337283,14.978397895564202
13,02-2023,01,28002387.0,49928806.0,1776151.0,11745583.0,15.765769351817497,28.11067640082403,2023,105435039507024.0,8024997028,32.289116139929476,22.805827135619744,3.336149447269425,2.757841093063338,16.278987812987108,14.389959221442565
14,03-2017,01,9962759.0,43428260.0,610003.0,13867008.0,16.332311480435344,71.19351872039974,2017,81550955754739.3,7577110140,32.03224916478881,22.748397715886078,4.2654017850666515,2.793145445063081,16.445023051645045,13.321219154170187
15,03-2018,01,23469530.0,42966087.0,2545440.0,13760617.0,9.220225187001068,16.87963063360362,2018,86686870786621.5,7661177849,32.0933235555677,22.759431575066092,2.826107607032879,2.2213994610230747,16.437321229580462,14.749814081039066
16,03-2019,01,34873075.0,39358628.0,5323736.0,12348385.0,6.550489167757379,7.39304653724377,2019,87945574337517.8,7742724795,32.107739265635864,22.770019503293934,2.0005399013263903,1.8795397289589546,16.32903584325645,15.487685870490814
17,03-2020,01,49807011.0,42611401.0,7014080.0,6882950.0,7.10100412313518,6.0751233233724165,2020,85577718250195.5,7821271846,32.08044606437664,22.78011301843261,1.8042022891641747,1.9602361998412723,15.744557897079817,15.763430115377124
18,03-2021,01,52704461.0,45646995.0,3765666.0,6750802.0,13.996053022227676,12.121891585711532,2021,97527032881901.1,7888963821,32.21115071583,22.788730635043017,2.495013039891634,2.638775362882638,15.725171870605607,15.141435296002788
19,03-2022,01,123360490.0,31329811.0,15331603.0,8318370.0,8.046157339190168,2.0434791456575025,2022,101225059591363.0,7951595433,32.24836746654863,22.796638428874658,0.7146538187621462,2.0851946282941647,15.933976880142303,16.545426811591376
20,03-2023,01,94167375.0,41340408.0,8893903.0,11075428.0,10.587857209596281,4.648173923192101,2023,105435039507024.0,8024997028,32.289116139929476,22.805827135619744,1.5364744377807142,2.3597077982138757,16.220239518746947,16.000876543764388
21,04-2017,01,39005121.0,49358030.0,5062632.0,15769802.0,7.70451437118084,9.749480112321022,2017,81550955754739.3,7577110140,32.03224916478881,22.748397715886078,2.277213961774869,2.041806439035045,16.573607403375302,15.437397064131083
22,04-2018,01,34142550.0,47347228.0,5861364.0,15685463.0,5.825017862736387,8.077851503506693,2018,86686870786621.5,7661177849,32.0933235555677,22.759431575066092,2.089125934143175,1.762162066011249,16.56824491781964,15.583892898972861
