time,code,IM_PQ,EX_PQ,IM_Q,EX_Q,IM_P,EX_P,year,fdi,gdp,pop,tea,btea,gtea,lgdp,lpop,lfdi,lexp,limp,lexq,limq,len,dropped,missing1,rate,is_tea,i0901,i0902,i0903,tea_sq,tea_pr
01-2017,09093200,,,,,,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,,,,8,1,1,6.858513636363637,0,0,0,0,2848.72,246.04
01-2017,09096110,,,,,,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,,,,8,1,1,6.858513636363637,0,0,0,0,2848.72,246.04
01-2017,09096290,,,,,,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,,,,8,1,1,6.858513636363637,0,0,0,0,2848.72,246.04
01-2017,09101100,1615.0,,500.0,,3.23,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,1.172482137234565,,6.214608098422191,8,0,1,6.858513636363637,0,0,0,0,2848.72,246.04
01-2017,09101200,1615.0,,500.0,,3.23,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,1.172482137234565,,6.214608098422191,8,0,1,6.858513636363637,0,0,0,0,2848.72,246.04
01-2017,09103000,,,,,,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,,,,8,1,1,6.858513636363637,0,0,0,0,2848.72,246.04
01-2017,09109100,269.0,,28.0,,9.607142857142858,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,2.2625068694266353,,3.332204510175204,8,0,1,6.858513636363637,0,0,0,0,2848.72,246.04
01-2017,09109900,,,,,,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,,,,8,1,1,6.858513636363637,0,0,0,0,2848.72,246.04
01-2017,090111,,,,,,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,,,,6,1,1,6.858513636363637,1,1,0,0,2848.72,246.04
01-2017,090121,6642370.0,,1897820.0,,3.5,,2017,13632000.0,832035.9,140011.0,246.04,22.55,163.82,13.631630867910914,11.84947626993344,16.427930528051235,,1.252762968495368,,14.45621641698455,6,0,1,6.858513636363637,1,1,0,0,2848.72,246.04
