指标,地区,分类,国家,商品,贸易方式,时间,数值
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,07-2021,119479.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,08-2021,95847.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,09-2021,109246.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,10-2021,72931.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,11-2021,188831.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,12-2021,111756.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,01-2022,110945.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,02-2022,337391.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,03-2022,46865.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,04-2022,331552.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,05-2022,46951.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,06-2022,124062.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,07-2022,65760.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,08-2022,89011.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,09-2022,129695.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,10-2022,49370.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,11-2022,382293.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,12-2022,478520.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,01-2023,56147.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,02-2023,46500.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,03-2023,97440.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,04-2023,54796.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,05-2023,25644.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,06-2023,28397.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,07-2023,56515.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,08-2023,56211.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,09-2023,16277.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,10-2023,74039.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,11-2023,121762.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,12-2023,49959.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,01-2024,26844.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,02-2024,61557.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,03-2024,22530.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,04-2024,85019.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,05-2024,57133.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,06-2024,202123.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,07-2024,7934.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,08-2024,101526.00000
进口金额（美元）,合计,本期值,中国大陆,09 - 咖啡、茶、马黛茶及调味香料,合计,09-2024,145396.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,01-2017,6642370.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,02-2017,5513290.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,03-2017,1275900.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,04-2017,4057420.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,05-2017,4064650.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,06-2017,3005190.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,07-2017,2867650.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,08-2017,2204890.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,09-2017,122116.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,10-2017,
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,11-2017,
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,12-2017,
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,01-2018,
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,02-2018,2280.00000
进口金额（美元）,合计,本期值,中国大陆,    0901 - 咖啡，不论是否焙炒或浸除咖啡碱；咖啡豆荚及咖啡豆皮；含咖啡的咖啡代用品,合计,03-2018,
