time,code,IM_PQ,EX_PQ,IM_Q,EX_Q,IM_P,EX_P,year,fdi,gdp,pop,lgdp,lpop,lfdi,lexp,limp,lexq,limq
02-2017,01051110,,,,,,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,,,
02-2017,01061110,,,,,,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,,,
02-2017,01061910,1000000.0,,91.0,,10989.010989010989,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,9.304651051447424,,4.51085950651685
02-2017,010511,,,,,,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,,,
02-2017,010611,,,,,,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,,,
02-2017,010619,1000000.0,,91.0,,10989.010989010989,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,9.304651051447424,,4.51085950651685
02-2017,0105,,,,,,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,,,
02-2017,0106,1000000.0,,91.0,,10989.010989010989,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,9.304651051447424,,4.51085950651685
02-2017,01,1000000.0,,91.0,,10989.010989010989,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,9.304651051447424,,4.51085950651685
02-2023,01051110,,,,,,,2023,16325000,1260582.1,140967,14.047084156372835,11.85628109941488,16.60820823312677,,,,
02-2023,01061110,,,,,,,2023,16325000,1260582.1,140967,14.047084156372835,11.85628109941488,16.60820823312677,,,,
02-2023,01061910,300000.0,,330.0,,909.0909090909091,,2023,16325000,1260582.1,140967,14.047084156372835,11.85628109941488,16.60820823312677,,6.812445099177812,,5.799092654460526
02-2023,010511,,,,,,,2023,16325000,1260582.1,140967,14.047084156372835,11.85628109941488,16.60820823312677,,,,
02-2023,010611,,,,,,,2023,16325000,1260582.1,140967,14.047084156372835,11.85628109941488,16.60820823312677,,,,
02-2023,010619,300000.0,,330.0,,909.0909090909091,,2023,16325000,1260582.1,140967,14.047084156372835,11.85628109941488,16.60820823312677,,6.812445099177812,,5.799092654460526
02-2023,0105,,,,,,,2023,16325000,1260582.1,140967,14.047084156372835,11.85628109941488,16.60820823312677,,,,
02-2023,0106,300000.0,,330.0,,909.0909090909091,,2023,16325000,1260582.1,140967,14.047084156372835,11.85628109941488,16.60820823312677,,6.812445099177812,,5.799092654460526
02-2023,01,300000.0,,330.0,,909.0909090909091,,2023,16325000,1260582.1,140967,14.047084156372835,11.85628109941488,16.60820823312677,,6.812445099177812,,5.799092654460526
03-2017,01051110,,,,,,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,,,
03-2017,01061110,,,,,,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,,,
03-2017,01061910,200000.0,,598.0,,334.44816053511704,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,5.812481891579542,,6.393590753950631
03-2017,010511,,,,,,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,,,
03-2017,010611,,,,,,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,,,
03-2017,010619,200000.0,,598.0,,334.44816053511704,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,5.812481891579542,,6.393590753950631
03-2017,0105,,,,,,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,,,
03-2017,0106,200000.0,,598.0,,334.44816053511704,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,5.812481891579542,,6.393590753950631
03-2017,01,200000.0,,598.0,,334.44816053511704,,2017,13632000,832035.9,140011,13.631630867910914,11.84947626993344,16.427930528051235,,5.812481891579542,,6.393590753950631
04-2019,01051110,,,,,,,2019,14122000,986515.2,141008,13.801934012334215,11.856571905339441,16.46324442305843,,,,
04-2019,01061110,59404.0,,5.0,,11880.8,,2019,14122000,986515.2,141008,13.801934012334215,11.856571905339441,16.46324442305843,,9.382678930716736,,1.6094379124341003
04-2019,01061910,,,,,,,2019,14122000,986515.2,141008,13.801934012334215,11.856571905339441,16.46324442305843,,,,
04-2019,010511,,,,,,,2019,14122000,986515.2,141008,13.801934012334215,11.856571905339441,16.46324442305843,,,,
04-2019,010611,59404.0,,5.0,,11880.8,,2019,14122000,986515.2,141008,13.801934012334215,11.856571905339441,16.46324442305843,,9.382678930716736,,1.6094379124341003
04-2019,010619,,,,,,,2019,14122000,986515.2,141008,13.801934012334215,11.856571905339441,16.46324442305843,,,,
04-2019,0105,,,,,,,2019,14122000,986515.2,141008,13.801934012334215,11.856571905339441,16.46324442305843,,,,
04-2019,0106,59404.0,,5.0,,11880.8,,2019,14122000,986515.2,141008,13.801934012334215,11.856571905339441,16.46324442305843,,9.382678930716736,,1.6094379124341003
04-2019,01,59404.0,,5.0,,11880.8,,2019,14122000,986515.2,141008,13.801934012334215,11.856571905339441,16.46324442305843,,9.382678930716736,,1.6094379124341003
05-2019,01051110,,,,,,,2019,14122000,986515.2,141008,13.801934012334215,11.856571905339441,16.46324442305843,,,,
05-2019,01061110,,,,,,,2019,14122000,986515.2,141008,13.801934012334215,11.856571905339441,16.46324442305843,,,,
05-2019,01061910,115345.0,,100.0,,1153.45,,2019,14122000,986515.2,141008,13.801934012334215,11.856571905339441,16.46324442305843,,7.050512730337094,,4.605170185988092
